Operation Types
Deposit
Buy
Sell
Fee
Small Assets Exchange BNB
Withdraw
Transaction Related
Transaction Buy
Transaction Spend
Transaction Fee
Transaction Revenue
Transaction Sold
Distribution
Fiat Withdraw
Transfer Between Main Account/Futures and Margin Account
DOT Slot Auction Staking
DOT Slot Auction Rewards
DOT Slot Auction Convert
Simple Earn Flexible Interest
Transfer Between Spot Account and UM Futures Account
Funding Fee
Realized Profit and Loss
Airdrop Assets
Insurance Fund Compensation
Cash Voucher
Cashback Voucher
Auto-Invest Transaction
Simple Earn Flexible Subscription
Gift Card Redemption
Simple Earn Locked Subscription
Simple Earn Locked Rewards
Transfer Between Main and Funding Wallet
Isolated Margin Loan
Isolated Margin Repayment
BNB Fee Deduction
Simple Earn Flexible Redemption
Launchpool Subscription/Redemption
Launchpool Earnings Withdrawal
Binance Convert
